"HeroProductID","NeueArtikelnummer","UrspruenglicheArtikelnummer","Bezeichnung","Beschreibung","Preis","Lieferant","Typ","DeaktiviertAm"
"Ge7LQvqXgAA","DUPLIKAT-GWS.LV23-08.03.7-Ge7L","GWS.LV23-08.03.7","[DUPLIKAT] GWS.LV23-08.03.7","Zulage zu Pos 08.03.6
für profilierte Türbekleidung (waagerecht  und/oder senkrecht)","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQvsXgAA","DUPLIKAT-GWS.LV23-08.03.8-Ge7L","GWS.LV23-08.03.8","[DUPLIKAT] GWS.LV23-08.03.8","Zulage zu Pos 08.03.6
Türbekleidungssockelstück nach Muster, ca. 18 x 15 x 3 cm, profilieren oder erneuern.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQvvXgAA","DUPLIKAT-GWS.LV23-08.03.9-Ge7L","GWS.LV23-08.03.9","[DUPLIKAT] GWS.LV23-08.03.9","Zulage zu Pos 08.03.6
Vorhandenes Türfutter durch unterkeilen oder unterfüttern lotrecht ausrichten, Bänder richten.
Falls erforderlich einen Falz aushobeln.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQvyXgAA","DUPLIKAT-GWS.LV23-08.03.10-Ge7L","GWS.LV23-08.03.10","[DUPLIKAT] GWS.LV23-08.03.10","Zulage zu Pos 08.03.6
Beschädigtes Türfutter ausbauen, neues Türfutter gleicher Ausführung bis 210 x 42 cm
liefern und maßgerecht einbauen.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQv0XgAA","DUPLIKAT-GWS.LV23-08.03.11-Ge7L","GWS.LV23-08.03.11","[DUPLIKAT] GWS.LV23-08.03.11","Vorhandene Türfüllung mit oder ohne Aufdoppelung durch neue Türfüllung aus Sperrholz AW 100,
6 bis 12 mm stark, ersetzen.
Einschließlich umlaufender Profilleiste, ca. 12 mm, Ausführung wie vorhanden.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQv4XgAA","DUPLIKAT-GWS.LV23-08.03.12-Ge7L","GWS.LV23-08.03.12","[DUPLIKAT] GWS.LV23-08.03.12","Beschädigtes Rahmenstück im Türblatt ausbauen,
neues Rahmenstück liefern und maßgerecht einbauen.
Ausführung wie vorhanden,
bis ca. 2,00 m Länge und 14 cm Breite.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQv7XgAA","DUPLIKAT-GWS.LV23-08.03.13-Ge7L","GWS.LV23-08.03.13","[DUPLIKAT] GWS.LV23-08.03.13","Beschädigten Blendrahmen demontieren, neuen Blendrahmen aus Holz herstellen/liefern und einbauen.
Befestigung mit zugelassenen Mauerankern.
Ausführung: Kiefer, grundiert,
einschließlich Dichtleisten und Befestigungsmaterial
Türgröße bis 86,0 x 198,5 cm","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQv-XgAA","DUPLIKAT-GWS.LV23-08.03.14-Ge7L","GWS.LV23-08.03.14","[DUPLIKAT] GWS.LV23-08.03.14","Beschädigten Schlossbereich bis zu 70 cm Länge ausschneiden und Passstück mit neuer Schlosstasche
einbauen. Vorhandenes Schloss und Drückergarnitur wieder einbauen und Türblatt schließbar ausrichten.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQwBXgAA","DUPLIKAT-GWS.LV23-08.03.15-Ge7L","GWS.LV23-08.03.15","[DUPLIKAT] GWS.LV23-08.03.15","Beschädigte Verleistung bei Fenstern, Balkontüren oder Türen entfernen, Untergrund säubern und neue
Verleistung, Ausführung wie vorhanden, herstellen.

Ausführung: wie vorhanden, glatt oder profiliert, 
bis 60 x 2,5 mm.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQwDXgAA","DUPLIKAT-GWS.LV23-08.03.16-Ge7L","GWS.LV23-08.03.16","[DUPLIKAT] GWS.LV23-08.03.16","Zulage zu Pos 08.03.15
nach Demontage der Verleistung an Fenster oder Tür und Säuberung des Untergrundes 
Bereich mit Schaum auf 1- komponentiger Polyurethanbasis nachschäumen.
Die Montage hat nach den gültigenVorschriften der EnEV und dem Montageleitfaden der RAL- Gütegemeinschaft Fenster- und Haustüren zu erfolgen.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQwGXgAA","DUPLIKAT-GWS.LV23-08.03.17-Ge7L","GWS.LV23-08.03.17","[DUPLIKAT] GWS.LV23-08.03.17","Beschädigte Abdichtleiste ausbauen und neu gelieferte Abdichtleiste mit eingefräster Silikonschlauchdichtung
grundieren und am Türrahmen oder Futterrahmen einbauen.
Ausführung: dreiseitig, bzw. vierseitig mit unterer Alu-Schutzschiene.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQwLXgAA","DUPLIKAT-GWS.LV23-08.03.19-Ge7L","GWS.LV23-08.03.19","[DUPLIKAT] GWS.LV23-08.03.19","Vorhandene Dichtung entfernen,
Untergrund reinigen und neue Dichtung,
Ausführung wie vorhanden, einbauen.

Ausführung: Flügel-/Blendrahmendichtung, Regenschienendichtung, P-, D- oder O-Profil, selbstklebend,
Silikonschlauchdichtung, geklebt, eingefräst oder in vorhandener Nut eingefräst, L-, R-
oder Klappdichtung geklebt.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQwQXgAA","DUPLIKAT-GWS.LV23-08.03.20-Ge7L","GWS.LV23-08.03.20","[DUPLIKAT] GWS.LV23-08.03.20","Vorhandene Anschlussfuge zwischen Fenster- bzw. Türrahmen und Bauteil wie folgt verfugen.

Fugen außen oder innen auskratzen, Untergrund säubern und vornässen. Fugen verputzen und
Putzanschlüsse anarbeiten.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQwXXgAA","DUPLIKAT-GWS.LV23-08.03.22-Ge7L","GWS.LV23-08.03.22","[DUPLIKAT] GWS.LV23-08.03.22","Vorhandene Anschlussfuge zwischen Fensterrahmen und Mauerwerk bzw. Fensterleibung mit FCKW-freiem
PU-Montageschaum ausschäumen, Schaumreste entfernen und Abdeckleiste aus Kunststoff oder Massivholz,
nach Angabe der Bauleitung, montieren.
Abdeckleiste bis 8 cm

Hersteller/ Fabrikat:
Würth
oder gleichw.
angeb. Fabrikat:

'.........'","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQ3KXgAA","DUPLIKAT-GWS.LV23-08.06.1-Ge7L","GWS.LV23-08.06.1","[DUPLIKAT] GWS.LV23-08.06.1","Beschädigten Handlauf, auch in Teilen, demontieren, neuen Handlauf nach vorhandenem Originalmuster aus
Buche herstellen und liefern mit  fachgerechtem Einbau.
Mit oder ohne Bohrung für vorhandene Profilstäbe.
Einschließlich aller erforderlichen Materialien, Nebenarbeiten und Schuttabfuhr/Entsorgung.
Handlaufdimension: bis ca. 10x6 cm","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQ3PXgAA","DUPLIKAT-GWS.LV23-08.06.2-Ge7L","GWS.LV23-08.06.2","[DUPLIKAT] GWS.LV23-08.06.2","Vorhandenen Handlauf, komplett demontieren,
neuen Handlauf in handelsüblichem Standard-Profil
aus Buche, ohne Geländerstabbohrungen, liefern und an der Wand mit neuen Handlaufstützen montieren.
Einschließlich aller erforderlichen Materialien, Nebenarbeiten und Schuttabfuhr/Entsorgung.

Abstand Handlaufstützen: max 1,25m
Aufteilung gleichmäßig in Abhängigkeit  der Handlauflänge.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQ3SXgAA","DUPLIKAT-GWS.LV23-08.06.3-Ge7L","GWS.LV23-08.06.3","[DUPLIKAT] GWS.LV23-08.06.3","Vorhandenen Treppengeländerstab ausbauen und neu gelieferten Geländerstab in einfacher Ausführung
fachgerecht einbauen. Einschl. aller erforderlichen Materialien, Nebenarbeiten und Schuttabfuhr/Entsorgung.
Ausführung Weichholz/ Kiefer","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQ3VXgAA","DUPLIKAT-GWS.LV23-08.06.4-Ge7L","GWS.LV23-08.06.4","[DUPLIKAT] GWS.LV23-08.06.4","Zulage zu Pos 08.06.3
Ausführung Hartholz/ Buche Ahorn","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQ3YXgAA","DUPLIKAT-GWS.LV23-08.06.5-Ge7L","GWS.LV23-08.06.5","[DUPLIKAT] GWS.LV23-08.06.5","Losen Treppengeländerstab, Treppenpfosten, Geländertafel oder Handlauf mit Winkel, Schrauben, Dübel oder Leimung
fachgerecht befestigen.
Einschließlich aller erforderlichen Materialien, Nebenarbeiten und Schuttabfuhr/Entsorgung.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQ3cXgAA","DUPLIKAT-GWS.LV23-08.06.6-Ge7L","GWS.LV23-08.06.6","[DUPLIKAT] GWS.LV23-08.06.6","Beschädigte Trittkante ausschneiden und neu geliefertes Passstück aus Hartholz maßgerecht einsetzen.
Einschließlich aller erforderlichen Materialien, Nebenarbeiten und Schuttabfuhr/Entsorgung.
Dimension: ca. : 4cm*6cm*100cm
Material: selbiges wie im Bestand","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQ3fXgAA","DUPLIKAT-GWS.LV23-08.06.7-Ge7L","GWS.LV23-08.06.7","[DUPLIKAT] GWS.LV23-08.06.7","Beschädigte Trittstufe ausbauen und neu gelieferte/angefertigte aus Hartholz maßgerecht und in Form und Ausführung wie vorhandene einbauen.
Einschließlich aller erforderlichen Materialien, Nebenarbeiten und Schuttabfuhr/Entsorgung.
Ausführung: Auftritt bis 30 x 120 cm","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQ3hXgAA","DUPLIKAT-GWS.LV23-08.06.8-Ge7L","GWS.LV23-08.06.8","[DUPLIKAT] GWS.LV23-08.06.8","Zulage zu Pos 08.06.7
Setzstufe an auzutauschender Treppenstufe
Ausführung: bis ca. 30 x 120 cm","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRSRXgAA","DUPLIKAT-GWS.LV23-10.01.2-Ge7L","GWS.LV23-10.01.2","[DUPLIKAT] GWS.LV23-10.01.2","1 Zi, Wohnungsgröße bis 45 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRSXXgAA","DUPLIKAT-GWS.LV23-10.01.4-Ge7L","GWS.LV23-10.01.4","[DUPLIKAT] GWS.LV23-10.01.4","2 Zi, Wohnungsgröße bis 50 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRSgXgAA","DUPLIKAT-GWS.LV23-10.01.7-Ge7L","GWS.LV23-10.01.7","[DUPLIKAT] GWS.LV23-10.01.7","2 Zi, Wohnungsgröße bis 75 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRSjXgAA","DUPLIKAT-GWS.LV23-10.01.8-Ge7L","GWS.LV23-10.01.8","[DUPLIKAT] GWS.LV23-10.01.8","3 Zi, Wohnungsgröße bis 50 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRSlXgAA","DUPLIKAT-GWS.LV23-10.01.9-Ge7L","GWS.LV23-10.01.9","[DUPLIKAT] GWS.LV23-10.01.9","3 Zi, Wohnungsgröße bis 55 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRSoXgAA","DUPLIKAT-GWS.LV23-10.01.10-Ge7L","GWS.LV23-10.01.10","[DUPLIKAT] GWS.LV23-10.01.10","3 Zi, Wohnungsgröße bis 65 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRSqXgAA","DUPLIKAT-GWS.LV23-10.01.11-Ge7L","GWS.LV23-10.01.11","[DUPLIKAT] GWS.LV23-10.01.11","3 Zi, Wohnungsgröße bis 75 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRStXgAA","DUPLIKAT-GWS.LV23-10.01.12-Ge7L","GWS.LV23-10.01.12","[DUPLIKAT] GWS.LV23-10.01.12","3 Zi, Wohnungsgröße bis 85 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRSwXgAA","DUPLIKAT-GWS.LV23-10.01.13-Ge7L","GWS.LV23-10.01.13","[DUPLIKAT] GWS.LV23-10.01.13","4 Zi, Wohnungsgröße bis 75 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRS1XgAA","DUPLIKAT-GWS.LV23-10.01.14-Ge7L","GWS.LV23-10.01.14","[DUPLIKAT] GWS.LV23-10.01.14","4 Zi, Wohnungsgröße bis 100 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRS7XgAA","DUPLIKAT-GWS.LV23-10.01.15-Ge7L","GWS.LV23-10.01.15","[DUPLIKAT] GWS.LV23-10.01.15","4 Zi, Wohnungsgröße &gt;100 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRTCXgAA","DUPLIKAT-GWS.LV23-10.01.16-Ge7L","GWS.LV23-10.01.16","[DUPLIKAT] GWS.LV23-10.01.16","5 Zi, Wohnungsgröße bis 100 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRTGXgAA","DUPLIKAT-GWS.LV23-10.01.17-Ge7L","GWS.LV23-10.01.17","[DUPLIKAT] GWS.LV23-10.01.17","5 Zi, Wohnungsgröße &gt;100 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRTMXgAA","DUPLIKAT-GWS.LV23-10.01.18-Ge7L","GWS.LV23-10.01.18","[DUPLIKAT] GWS.LV23-10.01.18","Einzelflächen bis 5 m²
Asbesthaltige Bodenbeläge ( Floor Felx PLatten ( o.ä ), asbesthaltigen Kleber und ggf. Spachtelmasse fachgerecht aufnehmen und entsorgen. 
Ausführungen nach"" Emissionsarme Verfahren für Tätigkeiten mit geringer Expostion gemäß TRGS 519.
Ausbau und Entsorgung der Floor Felx Platten nach dem BT 11 Verfahren gemäß TRGS.
Demontage/ Abschleifen und Entsorgung des asbesthaltigen Klebers nach dem BT 17 Verfahren gemäß TRGS.
Ausführungen nur durch zertifiziertes, zugelassene Fachunternehmen. Die fachgerechte Entsorgung ist mittels auftragsbezogenem Übernahmeschein zu dokumentieren und nachzuweisen.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRTRXgAA","DUPLIKAT-GWS.LV23-10.01.19-Ge7L","GWS.LV23-10.01.19","[DUPLIKAT] GWS.LV23-10.01.19","Einzelflächen bis 10 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRTVXgAA","DUPLIKAT-GWS.LV23-10.01.20-Ge7L","GWS.LV23-10.01.20","[DUPLIKAT] GWS.LV23-10.01.20","Einzelflächen bis 15 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRTaXgAA","DUPLIKAT-GWS.LV23-10.02.1-Ge7L","GWS.LV23-10.02.1","[DUPLIKAT] GWS.LV23-10.02.1","Spachtelmasse ( auch Fliesenkleber )  und asbesthaltigen Kleber aufnehmen und fachgerecht entsorgen. 
Ausführungen nach"" Emissionsarme Verfahren für Tätigkeiten mit geringer Expostion gemäß TRGS 519.
Demontage/ Abschleifen und Entsorgung des asbesthaltigen Klebers nach dem BT 17 Verfahren gemäß TRGS.
Ausführungen nur durch zertifiziertes, zugelassene Fachunternehmen. Die fachgerechte Entsorgung ist mittels auftragsbezogenem Übernahmeschein zu dokumentieren und nachzuweisen.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRTfXgAA","DUPLIKAT-GWS.LV23-10.02.2-Ge7L","GWS.LV23-10.02.2","[DUPLIKAT] GWS.LV23-10.02.2","Spachtelmasse ( auch Fliesenkleber )  und asbesthaltigen Kleber aufnehmen und fachgerecht entsorgen für Bad/ WC Größen bis 4,5 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRTjXgAA","DUPLIKAT-GWS.LV23-10.02.3-Ge7L","GWS.LV23-10.02.3","[DUPLIKAT] GWS.LV23-10.02.3","Spachtelmasse ( auch Fliesenkleber )  und asbesthaltigen Kleber aufnehmen und fachgerecht entsorgen für Bad/ WC Größen bis 6,0 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRTmXgAA","DUPLIKAT-GWS.LV23-10.02.4-Ge7L","GWS.LV23-10.02.4","[DUPLIKAT] GWS.LV23-10.02.4","Spachtelmasse ( auch Fliesenkleber )  und asbesthaltigen Kleber aufnehmen und fachgerecht entsorgen für Bad/ WC Größen bis 7,5 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRTsXgAA","DUPLIKAT-GWS.LV23-10.02.5-Ge7L","GWS.LV23-10.02.5","[DUPLIKAT] GWS.LV23-10.02.5","Spachtelmasse ( auch Fliesenkleber )  und asbesthaltigen Kleber aufnehmen und fachgerecht entsorgen für Bad/ WC Größen bis &gt; 7,5 m²","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRTwXgAA","DUPLIKAT-GWS.LV23-10.02.6-Ge7L","GWS.LV23-10.02.6","[DUPLIKAT] GWS.LV23-10.02.6","Spachtelmasse ( auch Fliesenkleber )  und asbesthaltigen Kleber aufnehmen und fachgerecht entsorgen für Gäste WC","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRT3XgAA","DUPLIKAT-GWS.LV23-10.03.2-Ge7L","GWS.LV23-10.03.2","[DUPLIKAT] GWS.LV23-10.03.2","Asbesthaltige Fensterbänke fachgerecht ausbauen und entsorgen. 
Ausführungen nach"" Emissionsarme Verfahren für Tätigkeiten mit geringer Expostion gemäß TRGS 519.

Ausführungen nur durch zertifiziertes, zugelassene Fachunternehmen. Die fachgerechte Entsorgung ist mittels auftragsbezogenem Übernahmeschein zu dokumentieren und nachzuweisen.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRT-XgAA","DUPLIKAT-GWS.LV23-10.05.1-Ge7L","GWS.LV23-10.05.1","[DUPLIKAT] GWS.LV23-10.05.1","Arbeiten, welche nicht in den Positionen erfasst sind und gegen Nachweis zur Ausführung kommen
einschl. aller Nebenkosten, wie.z.B. Auslösung, Fahr- und Wegegeld, Unternehmerzuschlag etc.

Ausführung nur nach Genehmigung der Bauleitung/ des AG
Nachweise sind innerhalb von drei Tagen nach durchgeführter Leistung unaufgefordert dem AG im Original zur Verfügung zu stellen.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRUCXgAA","DUPLIKAT-GWS.LV23-10.05.2-Ge7L","GWS.LV23-10.05.2","[DUPLIKAT] GWS.LV23-10.05.2","Arbeiten, welche nicht in den Positionen erfasst sind und gegen Nachweis zur Ausführung kommen
einschl. aller Nebenkosten, wie.z.B. Auslösung, Fahr- und Wegegeld, Unternehmerzuschlag etc.

Ausführung nur nach Genehmigung der Bauleitung/ des AG
Nachweise sind innerhalb von drei Tagen nach durchgeführter Leistung unaufgefordert dem AG im Original zur Verfügung zu stellen.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"GHWm1clFIAA","DUPLIKAT-91016431-GHWm","91016431","[DUPLIKAT] 91016431","ALLMESS Eichgebühren / Konformitätsentge Konf.entgelt MID WZ-W bis Q3=10","9,9","J.W. Zander GmbH & Co. KG","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LOoMXgAA","DUPLIKAT-CV24.GS3V.01.02.0270-Ge7L","CV24.GS3V.01.02.0270","[DUPLIKAT] CV24.GS3V.01.02.0270","Holztüre ohne Schallex kürzen und wieder einhängen.
Zimmer- bzw.Wohnungseingangstüren ohne
Schallex-Einbauten aushängen und auf Einbauhöhe des
neuverlegten Belags kürzen, bzw. beihobeln und wieder
einhängen.","8,45","Covivio 2024-10","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LLl7XgAA","DUPLIKAT-CV24.S39.01.02.0020-Ge7L","CV24.S39.01.02.0020","[DUPLIKAT] CV24.S39.01.02.0020","Nichtragende innere Montagewand nach DIN 4103-1,
Beplankung einlagig 12,5 mm GKF, Dicke 100 mm,
Unterkonstruktion aus 75 mm UW und CW Profilen, 60 mm
Mineralwolle, Feuerwiderstandsklasse F 30;
Schalldämmung 43 dB, Spachtelqualität Q 2, Knauf System
W 111 oder gleichwertig","22,8475","Covivio 2024-10","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LLmMXgAA","DUPLIKAT-CV24.S39.01.02.0030-Ge7L","CV24.S39.01.02.0030","[DUPLIKAT] CV24.S39.01.02.0030","Nichtragende innere Montagewand nach DIN 4103-1,
Beplankung zweilagig 12,5 mm GKB, Dicke 125 mm,
Unterkonstruktion aus 75 mm UW und CW Profilen, 60 mm
Mineralwolle, Feuerwiderstandsklasse F 30;
Schalldämmung 52 dB, Spachtelqualität Q 2, Knauf System
W 112 oder gleichwertig","26,5525","Covivio 2024-10","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LLmfXgAA","DUPLIKAT-CV24.S39.01.02.0040-Ge7L","CV24.S39.01.02.0040","[DUPLIKAT] CV24.S39.01.02.0040","Nichtragende innere Montagewand nach DIN 4103-1,
Beplankung zweilagig 12,5 mm GKBi imprägniert, geeignet
für häusliche Feuchträume, Dicke 125 mm,
Unterkonstruktion aus 75 mm UW und CW Profilen, 60 mm
Mineralwolle, Feuerwiderstandsklasse F 30;
Schalldämmung 52 dB, Spachtelqualität Q 2, Knauf System
W 112 oder gleichwertig","29,64","Covivio 2024-10","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LLmvXgAA","DUPLIKAT-CV24.S39.01.02.0050-Ge7L","CV24.S39.01.02.0050","[DUPLIKAT] CV24.S39.01.02.0050","Nichtragende innere Montagewand nach DIN 4103-1,
Beplankung zweilagig 12,5 mm GKF,  Dicke 125 mm,
Unterkonstruktion aus 75 mm UW und CW Profilen, 60 mm
Mineralwolle, Feuerwiderstandsklasse F 90;
Schalldämmung 52 dB, Spachtelqualität Q 2, Knauf System
W 112 oder gleichwertig","31,4925","Covivio 2024-10","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LLnBXgAA","DUPLIKAT-CV24.S39.01.02.0060-Ge7L","CV24.S39.01.02.0060","[DUPLIKAT] CV24.S39.01.02.0060","Nichtragende innere Montagewand als Doppelständerwand
nach DIN 4103-1, Beplankung zweilagig 12,5 mm GKF,
Dicke 205 mm, Unterkonstruktion aus 2x 75 mm UW und CW
Profilen, 2x 60 mm Mineralwolle, Feuerwiderstandsklasse
F 90; Schalldämmung 61 dB, Spachtelqualität Q 2, Knauf
System W 115 oder gleichwertig","37,6675","Covivio 2024-10","Identisches Duplikat","2026-01-26 22:15:47"
